function,metric
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4280
gpsw_dec_seq_avg,7592
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4112
gpsw_dec_seq_avg,7592
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4512
gpsw_dec_seq_avg,7592
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4424
gpsw_dec_seq_avg,7768
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4424
gpsw_dec_seq_avg,7776
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4024
gpsw_dec_seq_avg,7592
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4512
gpsw_dec_seq_avg,7768
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4912
gpsw_dec_seq_avg,7952
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4192
gpsw_dec_seq_avg,7592
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4024
gpsw_dec_seq_avg,7592
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4280
gpsw_dec_seq_avg,7592
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4600
gpsw_dec_seq_avg,7768
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4424
gpsw_dec_seq_avg,7768
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4512
gpsw_dec_seq_avg,7768
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4280
gpsw_dec_seq_avg,7592
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4424
gpsw_dec_seq_avg,7776
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4824
gpsw_dec_seq_avg,7776
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4592
gpsw_dec_seq_avg,7768
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4512
gpsw_dec_seq_avg,7776
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4592
gpsw_dec_seq_avg,7768
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4424
gpsw_dec_seq_avg,7768
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4824
gpsw_dec_seq_avg,7960
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4912
gpsw_dec_seq_avg,7952
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5224
gpsw_dec_seq_avg,8136
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4512
gpsw_dec_seq_avg,7776
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4592
gpsw_dec_seq_avg,7768
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4512
gpsw_dec_seq_avg,7768
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4280
gpsw_dec_seq_avg,7592
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4512
gpsw_dec_seq_avg,7592
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4824
gpsw_dec_seq_avg,7960
gpsw_setup_worst,6760
gpsw_enc_worst,6408
gpsw_keygen_worst,4280
gpsw_dec_seq_worst,7592
gpsw_dec_sim_avg,9312
gpsw_dec_sim_avg,7800
gpsw_dec_sim_avg,8800
gpsw_dec_sim_avg,9312
gpsw_dec_sim_avg,9320
gpsw_dec_sim_avg,9312
gpsw_dec_sim_avg,8312
gpsw_dec_sim_avg,9328
gpsw_dec_sim_avg,9312
gpsw_dec_sim_avg,8312
gpsw_dec_sim_avg,8800
gpsw_dec_sim_avg,9320
gpsw_dec_sim_avg,7800
gpsw_dec_sim_avg,7808
gpsw_dec_sim_avg,8320
gpsw_dec_sim_avg,8800
gpsw_dec_sim_avg,9312
gpsw_dec_sim_avg,7800
gpsw_dec_sim_avg,8800
gpsw_dec_sim_avg,9328
gpsw_dec_sim_avg,9320
gpsw_dec_sim_avg,8312
gpsw_dec_sim_avg,8312
gpsw_dec_sim_avg,9312
gpsw_dec_sim_avg,9320
gpsw_dec_sim_avg,8800
gpsw_dec_sim_avg,8800
gpsw_dec_sim_avg,8808
gpsw_dec_sim_avg,8312
gpsw_dec_sim_avg,8800
gpsw_dec_sim_worst,9312
