function,metric
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5016
gpsw_dec_seq_avg,7624
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5248
gpsw_dec_seq_avg,7808
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5504
gpsw_dec_seq_avg,7808
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5080
gpsw_dec_seq_avg,7984
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6400
gpsw_dec_seq_avg,8168
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5432
gpsw_dec_seq_avg,7808
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6000
gpsw_dec_seq_avg,7808
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5496
gpsw_dec_seq_avg,7808
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5000
gpsw_dec_seq_avg,7816
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4952
gpsw_dec_seq_avg,7616
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5016
gpsw_dec_seq_avg,7808
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4696
gpsw_dec_seq_avg,7616
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5584
gpsw_dec_seq_avg,7800
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5248
gpsw_dec_seq_avg,7808
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5912
gpsw_dec_seq_avg,7824
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5568
gpsw_dec_seq_avg,7816
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4680
gpsw_dec_seq_avg,7624
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5000
gpsw_dec_seq_avg,7816
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5272
gpsw_dec_seq_avg,7624
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5896
gpsw_dec_seq_avg,7648
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5752
gpsw_dec_seq_avg,7984
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4760
gpsw_dec_seq_avg,7800
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5400
gpsw_dec_seq_avg,7992
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5584
gpsw_dec_seq_avg,7992
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5736
gpsw_dec_seq_avg,7984
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4928
gpsw_dec_seq_avg,7808
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5792
gpsw_dec_seq_avg,7816
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6296
gpsw_dec_seq_avg,7816
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5816
gpsw_dec_seq_avg,7808
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5752
gpsw_dec_seq_avg,7624
gpsw_dec_sim_avg,8344
gpsw_dec_sim_avg,8360
gpsw_dec_sim_avg,8352
gpsw_dec_sim_avg,8352
gpsw_dec_sim_avg,8840
gpsw_dec_sim_avg,15328
gpsw_dec_sim_avg,10352
gpsw_dec_sim_avg,12352
gpsw_dec_sim_avg,17408
gpsw_dec_sim_avg,8832
gpsw_dec_sim_avg,8840
gpsw_dec_sim_avg,14632
gpsw_dec_sim_avg,11840
gpsw_dec_sim_avg,7840
gpsw_dec_sim_avg,8832
gpsw_dec_sim_avg,13368
gpsw_dec_sim_avg,13360
gpsw_dec_sim_avg,12832
gpsw_dec_sim_avg,11832
gpsw_dec_sim_avg,7832
gpsw_dec_sim_avg,8840
gpsw_dec_sim_avg,8840
gpsw_dec_sim_avg,9840
gpsw_dec_sim_avg,11352
gpsw_dec_sim_avg,9840
gpsw_dec_sim_avg,10344
gpsw_dec_sim_avg,9832
gpsw_dec_sim_avg,8856
gpsw_dec_sim_avg,16680
gpsw_dec_sim_avg,11856
gpsw_setup_worst,6760
gpsw_enc_worst,6408
gpsw_keygen_worst,5536
gpsw_dec_seq_worst,7616
gpsw_dec_sim_worst,18048
