function,metric
bsw_setup,1155
bsw_enc,4573
bsw_keygen,3887
bsw_dec,11718
bsw_setup,1155
bsw_enc,4502
bsw_keygen,3872
bsw_dec,9464
bsw_setup,1155
bsw_enc,4481
bsw_keygen,3872
bsw_dec,10301
bsw_setup,1155
bsw_enc,4494
bsw_keygen,3873
bsw_dec,8446
bsw_setup,1155
bsw_enc,4495
bsw_keygen,3872
bsw_dec,8444
bsw_setup,1155
bsw_enc,4571
bsw_keygen,3887
bsw_dec,11720
bsw_setup,1155
bsw_enc,4537
bsw_keygen,3872
bsw_dec,6593
bsw_setup,1155
bsw_enc,4484
bsw_keygen,3889
bsw_dec,6571
bsw_setup,1155
bsw_enc,4532
bsw_keygen,3888
bsw_dec,11675
bsw_setup,1155
bsw_enc,4485
bsw_keygen,3888
bsw_dec,6573
bsw_setup,1155
bsw_enc,4506
bsw_keygen,3872
bsw_dec,9852
bsw_setup,1155
bsw_enc,4481
bsw_keygen,3872
bsw_dec,10302
bsw_setup,1155
bsw_enc,4494
bsw_keygen,3872
bsw_dec,8020
bsw_setup,1155
bsw_enc,4545
bsw_keygen,3887
bsw_dec,10885
bsw_setup,1155
bsw_enc,4512
bsw_keygen,3874
bsw_dec,8432
bsw_setup,1155
bsw_enc,4583
bsw_keygen,3887
bsw_dec,11337
bsw_setup,1155
bsw_enc,4506
bsw_keygen,3873
bsw_dec,9855
bsw_setup,1155
bsw_enc,4512
bsw_keygen,3875
bsw_dec,8433
bsw_setup,1155
bsw_enc,4494
bsw_keygen,3873
bsw_dec,8021
bsw_setup,1155
bsw_enc,4552
bsw_keygen,3874
bsw_dec,7972
bsw_setup,1155
bsw_enc,4516
bsw_keygen,3875
bsw_dec,6592
bsw_setup,1155
bsw_enc,4513
bsw_keygen,3874
bsw_dec,8433
bsw_setup,1155
bsw_enc,4512
bsw_keygen,3874
bsw_dec,8433
bsw_setup,1155
bsw_enc,4574
bsw_keygen,3887
bsw_dec,11716
bsw_setup,1155
bsw_enc,4474
bsw_keygen,3871
bsw_dec,9815
bsw_setup,1155
bsw_enc,4516
bsw_keygen,3874
bsw_dec,6590
bsw_setup,1155
bsw_enc,4489
bsw_keygen,3887
bsw_dec,11719
bsw_setup,1155
bsw_enc,4516
bsw_keygen,3875
bsw_dec,6589
bsw_setup,1155
bsw_enc,4515
bsw_keygen,3875
bsw_dec,6590
bsw_setup,1155
bsw_enc,4548
bsw_keygen,3873
bsw_dec,6590
