function,metric
bsw_setup,1157
bsw_enc,4579
bsw_keygen,3892
bsw_dec,21427
bsw_setup,1157
bsw_enc,4507
bsw_keygen,3877
bsw_dec,17233
bsw_setup,1157
bsw_enc,4487
bsw_keygen,3876
bsw_dec,18072
bsw_setup,1157
bsw_enc,4500
bsw_keygen,3877
bsw_dec,14271
bsw_setup,1157
bsw_enc,4500
bsw_keygen,3876
bsw_dec,14272
bsw_setup,1157
bsw_enc,4577
bsw_keygen,3891
bsw_dec,21435
bsw_setup,1157
bsw_enc,4543
bsw_keygen,3876
bsw_dec,10475
bsw_setup,1157
bsw_enc,4490
bsw_keygen,3893
bsw_dec,10461
bsw_setup,1157
bsw_enc,4538
bsw_keygen,3892
bsw_dec,21383
bsw_setup,1157
bsw_enc,4491
bsw_keygen,3893
bsw_dec,10462
bsw_setup,1157
bsw_enc,4512
bsw_keygen,3876
bsw_dec,17618
bsw_setup,1157
bsw_enc,4486
bsw_keygen,3877
bsw_dec,18072
bsw_setup,1157
bsw_enc,4500
bsw_keygen,3877
bsw_dec,13849
bsw_setup,1157
bsw_enc,4551
bsw_keygen,3892
bsw_dec,20589
bsw_setup,1157
bsw_enc,4517
bsw_keygen,3878
bsw_dec,14264
bsw_setup,1157
bsw_enc,4588
bsw_keygen,3892
bsw_dec,21047
bsw_setup,1157
bsw_enc,4512
bsw_keygen,3877
bsw_dec,17628
bsw_setup,1157
bsw_enc,4518
bsw_keygen,3879
bsw_dec,14260
bsw_setup,1157
bsw_enc,4500
bsw_keygen,3877
bsw_dec,13849
bsw_setup,1157
bsw_enc,4558
bsw_keygen,3879
bsw_dec,13800
bsw_setup,1157
bsw_enc,4522
bsw_keygen,3879
bsw_dec,10477
bsw_setup,1157
bsw_enc,4518
bsw_keygen,3879
bsw_dec,14266
bsw_setup,1157
bsw_enc,4518
bsw_keygen,3879
bsw_dec,14265
bsw_setup,1157
bsw_enc,4580
bsw_keygen,3891
bsw_dec,21429
bsw_setup,1157
bsw_enc,4479
bsw_keygen,3876
bsw_dec,17581
bsw_setup,1157
bsw_enc,4522
bsw_keygen,3878
bsw_dec,10480
bsw_setup,1157
bsw_enc,4495
bsw_keygen,3892
bsw_dec,21425
bsw_setup,1157
bsw_enc,4521
bsw_keygen,3880
bsw_dec,10481
bsw_setup,1157
bsw_enc,4521
bsw_keygen,3880
bsw_dec,10479
bsw_setup,1157
bsw_enc,4553
bsw_keygen,3878
bsw_dec,10481
