function,metric
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8014
gpsw_dec,9247
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,7984
gpsw_dec,11483
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8065
gpsw_dec,18880
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8102
gpsw_dec,11483
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,7977
gpsw_dec,22133
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8094
gpsw_dec,23524
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8002
gpsw_dec,24522
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8018
gpsw_dec,18810
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,7990
gpsw_dec,25589
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8058
gpsw_dec,11888
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8062
gpsw_dec,21153
gpsw_setup,4959
gpsw_enc,6234
gpsw_keygen,8064
gpsw_dec,10164
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,7996
gpsw_dec,10166
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,7947
gpsw_dec,16394
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8022
gpsw_dec,15647
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8195
gpsw_dec,23390
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8013
gpsw_dec,9250
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8004
gpsw_dec,16334
gpsw_setup,4959
gpsw_enc,6234
gpsw_keygen,7869
gpsw_dec,9244
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,7917
gpsw_dec,9246
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8076
gpsw_dec,19506
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8132
gpsw_dec,19004
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8002
gpsw_dec,18877
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8062
gpsw_dec,22937
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,8052
gpsw_dec,25519
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,7984
gpsw_dec,23938
gpsw_setup,4959
gpsw_enc,6234
gpsw_keygen,7979
gpsw_dec,11489
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,7990
gpsw_dec,10163
gpsw_setup,4960
gpsw_enc,6234
gpsw_keygen,7897
gpsw_dec,12767
gpsw_setup,4959
gpsw_enc,6234
gpsw_keygen,7912
gpsw_dec,15393
