function,metric
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8106
gpsw_dec_seq,19440
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8228
gpsw_dec_seq,16523
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8076
gpsw_dec_seq,20949
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8172
gpsw_dec_seq,33421
gpsw_setup,5033
gpsw_enc,6325
gpsw_keygen,7991
gpsw_dec_seq,47936
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,7985
gpsw_dec_seq,24182
gpsw_setup,5033
gpsw_enc,6325
gpsw_keygen,8149
gpsw_dec_seq,45395
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8178
gpsw_dec_seq,30829
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8012
gpsw_dec_seq,18716
gpsw_setup,5033
gpsw_enc,6325
gpsw_keygen,7947
gpsw_dec_seq,36202
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8012
gpsw_dec_seq,24452
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8051
gpsw_dec_seq,11200
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8333
gpsw_dec_seq,46074
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8054
gpsw_dec_seq,38337
gpsw_setup,5033
gpsw_enc,6325
gpsw_keygen,8158
gpsw_dec_seq,11202
gpsw_setup,5033
gpsw_enc,6325
gpsw_keygen,8055
gpsw_dec_seq,11202
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8102
gpsw_dec_seq,26522
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8100
gpsw_dec_seq,30808
gpsw_setup,5033
gpsw_enc,6325
gpsw_keygen,8147
gpsw_dec_seq,25287
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8067
gpsw_dec_seq,24238
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8032
gpsw_dec_seq,48039
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8119
gpsw_dec_seq,11205
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8112
gpsw_dec_seq,23683
gpsw_setup,5033
gpsw_enc,6325
gpsw_keygen,8123
gpsw_dec_seq,13871
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8190
gpsw_dec_seq,16258
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8138
gpsw_dec_seq,15884
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8156
gpsw_dec_seq,54571
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8212
gpsw_dec_seq,30979
gpsw_setup,5033
gpsw_enc,6325
gpsw_keygen,8181
gpsw_dec_seq,50000
gpsw_setup,5032
gpsw_enc,6325
gpsw_keygen,8156
gpsw_dec_seq,29102
gpsw_dec_sim,9247
gpsw_dec_sim,11483
gpsw_dec_sim,18880
gpsw_dec_sim,11483
gpsw_dec_sim,22133
gpsw_dec_sim,23524
gpsw_dec_sim,24522
gpsw_dec_sim,18810
gpsw_dec_sim,25589
gpsw_dec_sim,11888
gpsw_dec_sim,21153
gpsw_dec_sim,10164
gpsw_dec_sim,10166
gpsw_dec_sim,16394
gpsw_dec_sim,15647
gpsw_dec_sim,23390
gpsw_dec_sim,9250
gpsw_dec_sim,16334
gpsw_dec_sim,9244
gpsw_dec_sim,9246
gpsw_dec_sim,19506
gpsw_dec_sim,19004
gpsw_dec_sim,18877
gpsw_dec_sim,22937
gpsw_dec_sim,25519
gpsw_dec_sim,23938
gpsw_dec_sim,11489
gpsw_dec_sim,10163
gpsw_dec_sim,12767
gpsw_dec_sim,15393
